,src,trg,time
487,96,163,1082754961
488,9,58,1082755436
489,41,56,1082755480
490,9,20,1082755702
491,9,165,1082755743
492,9,61,1082755904
493,103,109,1082756732
494,32,155,1082756853
495,32,109,1082756917
496,32,174,1082756994
497,175,50,1082757021
498,103,85,1082757502
499,124,109,1082757593
500,164,8,1082757772
501,103,63,1082758236
502,38,128,1082758487
503,103,63,1082758510
504,103,63,1082758569
505,19,109,1082758617
506,103,63,1082758677
507,103,63,1082758753
508,161,164,1082758766
509,161,164,1082758768
510,38,109,1082758816
511,41,63,1082758848
512,103,63,1082758936
513,176,63,1082758956
514,41,63,1082758958
515,176,63,1082759050
516,41,63,1082759073
517,161,63,1082759105
518,103,63,1082759111
519,41,63,1082759116
520,176,63,1082759162
521,41,63,1082759165
522,161,63,1082759175
523,103,63,1082759190
524,32,164,1082759192
525,176,63,1082759213
526,41,63,1082759245
527,176,63,1082759303
528,41,63,1082759310
529,161,63,1082759319
530,103,63,1082759345
531,41,177,1082759370
532,41,177,1082759374
533,164,178,1082759396
534,164,177,1082759413
535,32,175,1082759425
536,32,177,1082759441
537,176,63,1082759466
538,164,179,1082759468
539,41,63,1082759506
540,32,179,1082759520
541,41,63,1082759539
542,41,63,1082759636
543,41,63,1082759659
544,41,63,1082759743
545,161,63,1082759770
546,96,164,1082759884
547,41,63,1082759998
548,41,177,1082760055
549,41,177,1082760095
550,41,63,1082760126
551,41,177,1082760151
552,41,63,1082760214
553,161,63,1082760225
554,32,177,1082760229
555,41,177,1082760239
556,32,177,1082760320
557,41,177,1082760324
558,41,63,1082760356
559,41,180,1082760371
560,32,177,1082760454
561,41,63,1082760471
562,161,63,1082760486
563,41,177,1082760490
564,41,180,1082760512
565,177,32,1082760633
566,41,63,1082760668
567,41,177,1082760685
568,180,177,1082760694
569,180,177,1082760701
570,180,181,1082760770
571,41,177,1082760774
572,180,182,1082760824
573,41,180,1082760907
574,41,90,1082760927
575,41,63,1082760957
576,32,177,1082760983
577,41,180,1082761090
578,41,63,1082761113
579,41,177,1082761126
580,177,180,1082761158
581,177,180,1082761222
582,177,32,1082761270
583,41,180,1082761300
584,41,177,1082761355
585,41,180,1082761360
586,32,177,1082761381
587,41,63,1082761387
588,183,184,1082761481
589,41,63,1082761670
590,177,32,1082761714
591,32,177,1082761774
592,41,177,1082761821
593,177,32,1082761844
594,175,32,1082761883
595,32,177,1082761899
596,32,175,1082761929
597,41,168,1082762000
598,175,32,1082762126
599,41,168,1082762237
600,41,177,1082762245
601,177,32,1082762257
602,63,174,1082762279
603,174,63,1082762297
604,63,174,1082762307
605,174,63,1082762336
606,41,168,1082762347
607,41,177,1082762371
608,32,175,1082762390
609,63,174,1082762402
610,174,63,1082762433
611,41,168,1082762438
612,9,32,1082762460
613,41,177,1082762473
614,63,174,1082762476
615,32,177,1082762483
616,175,32,1082762517
617,32,175,1082762611
618,41,168,1082762645
619,41,177,1082762674
620,41,168,1082762684
621,41,168,1082762692
622,63,155,1082762737
623,174,63,1082762749
624,41,177,1082762768
625,177,32,1082762776
626,41,168,1082762783
627,175,32,1082762794
628,63,174,1082762808
629,174,63,1082762872
630,63,174,1082762893
631,41,168,1082762941
632,41,177,1082762963
633,41,177,1082762996
634,32,175,1082763017
635,41,177,1082763018
636,175,32,1082763210
637,175,32,1082763231
638,32,175,1082763310
639,41,177,1082763388
640,41,168,1082763401
641,174,63,1082763405
642,63,174,1082763464
643,41,168,1082763499
644,41,168,1082763600
645,41,177,1082763628
646,41,168,1082763653
647,41,177,1082763676
648,174,63,1082763703
649,63,174,1082763721
650,41,168,1082764013
651,41,177,1082764066
652,41,177,1082764348
653,41,177,1082764380
654,41,177,1082764726
655,9,32,1082764739
656,41,177,1082764741
657,41,185,1082764751
658,41,168,1082764765
659,185,147,1082764926
660,185,32,1082765093
661,41,185,1082765160
662,41,177,1082765177
663,32,185,1082765317
664,186,185,1082765326
665,140,185,1082765334
666,155,32,1082765335
667,32,155,1082765358
668,185,186,1082765391
669,155,63,1082765449
670,41,177,1082765558
671,103,177,1082765609
672,187,186,1082765753
673,185,97,1082765842
674,103,97,1082765877
675,187,186,1082765895
676,41,185,1082765985
677,41,185,1082766007
678,41,186,1082766048
679,41,185,1082766056
680,41,186,1082766129
681,185,63,1082766306
682,41,168,1082766341
683,187,186,1082766411
684,63,155,1082766483
685,63,185,1082766522
686,103,58,1082766618
687,103,63,1082766673
688,187,186,1082766732
689,103,188,1082766936
690,189,175,1082766944
691,189,175,1082766995
692,140,185,1082767092
693,187,186,1082767095
694,185,109,1082767113
695,140,185,1082767413
696,189,8,1082767956
697,102,97,1082767959
698,140,185,1082768102
699,41,86,1082768241
700,41,188,1082768524
701,101,100,1082769241
702,101,190,1082769860
703,191,175,1082769878
704,101,190,1082769881
705,101,190,1082769911
706,101,190,1082769980
707,101,190,1082770002
708,103,192,1082770053
709,101,190,1082770114
710,101,190,1082770155
711,101,190,1082770168
712,101,190,1082770219
713,101,190,1082770244
714,101,190,1082770255
715,101,190,1082770267
716,101,190,1082770273
717,193,149,1082770316
718,101,100,1082770326
719,193,190,1082770368
720,191,78,1082770403
721,101,190,1082770419
722,101,190,1082770427
723,190,109,1082770493
724,101,190,1082770514
725,193,190,1082770540
726,109,124,1082770830
727,103,109,1082770830
728,103,190,1082770915
729,103,109,1082771103
730,103,109,1082771192
731,41,192,1082771989
732,194,149,1082773129
733,194,195,1082773594
734,176,20,1082775359
735,176,61,1082775364
736,176,149,1082775380
737,176,120,1082775385
738,176,132,1082775390
739,176,86,1082775399
740,176,97,1082775423
741,176,72,1082775447
742,176,58,1082775451
743,176,8,1082775456
744,176,196,1082775659
745,176,197,1082775667
746,176,198,1082775671
747,176,199,1082775680
748,176,200,1082775684
749,176,190,1082775688
750,176,192,1082775693
751,176,201,1082775697
752,176,188,1082775701
753,176,202,1082775708
754,176,185,1082775713
755,176,203,1082775718
756,176,180,1082775731
757,176,181,1082775740
758,176,177,1082775745
759,176,184,1082775753
760,176,175,1082775760
761,176,166,1082776512
762,204,205,1082781313
763,204,104,1082781353
764,204,184,1082781636
765,189,144,1082782188
766,3,185,1082800184
767,3,32,1082800962
768,199,58,1082801087
769,63,185,1082801384
770,63,199,1082801545
771,63,184,1082801592
772,199,101,1082801875
773,194,199,1082803272
774,194,206,1082803366
775,194,207,1082803425
776,204,123,1082803627
777,121,191,1082803777
778,175,191,1082803804
779,204,129,1082803825
780,63,199,1082803874
781,101,184,1082803877
782,101,208,1082803980
783,63,46,1082804057
784,63,199,1082805118
785,101,88,1082805656
786,191,121,1082806359
787,191,175,1082806372
788,103,177,1082806461
789,199,20,1082806563
790,184,101,1082806622
791,103,132,1082806670
792,199,209,1082806921
793,101,184,1082807044
794,36,105,1082807406
795,103,210,1082807459
796,36,209,1082807551
797,184,101,1082808057
798,209,199,1082808182
799,199,209,1082808400
800,199,210,1082808563
801,101,184,1082808897
802,184,101,1082810293
803,176,101,1082811737
804,68,101,1082812140
805,32,198,1082812940
806,211,101,1082814358
807,212,209,1082814366
808,211,213,1082814602
809,211,93,1082814625
810,211,85,1082814672
811,189,199,1082814998
812,214,215,1082815869
813,103,109,1082815909
814,103,215,1082815952
815,103,82,1082815973
816,44,214,1082815993
817,103,215,1082816169
818,63,199,1082816171
819,63,199,1082816208
820,103,215,1082816318
821,103,215,1082816343
822,103,168,1082816428
823,214,109,1082816443
824,215,67,1082816503
825,103,215,1082816532
826,214,215,1082816539
827,41,215,1082816544
828,41,216,1082816565
829,103,127,1082816642
830,215,62,1082816807
831,214,109,1082816905
832,176,217,1082817017
833,176,216,1082817039
834,176,218,1082817198
835,103,109,1082817366
836,219,124,1082817649
837,19,109,1082817776
838,63,127,1082818184
839,88,101,1082818313
840,103,168,1082818495
841,103,56,1082818682
842,63,127,1082818793
843,103,56,1082818831
844,214,56,1082818833
845,214,56,1082818882
846,63,127,1082819034
847,51,215,1082819205
848,19,175,1082819482
849,19,109,1082819510
850,44,214,1082819549
851,215,51,1082819627
852,44,214,1082819811
853,19,215,1082819940
854,19,215,1082819982
855,103,175,1082820400
856,44,214,1082820420
857,19,215,1082820780
858,103,175,1082820816
859,214,175,1082820829
860,51,215,1082820928
861,19,215,1082820952
862,214,215,1082821007
863,215,51,1082821055
864,19,215,1082821160
865,96,95,1082821356
866,96,32,1082821443
867,19,215,1082821444
868,96,164,1082821470
869,103,215,1082821497
870,103,215,1082821664
871,19,215,1082821750
872,144,185,1082821919
873,103,168,1082822025
874,220,214,1082822026
875,220,32,1082822127
876,19,215,1082822139
877,144,32,1082822237
878,103,175,1082822453
879,103,175,1082822544
880,175,214,1082822561
881,103,175,1082822627
882,103,175,1082822742
883,103,175,1082822936
884,176,221,1082823302
885,103,98,1082823817
886,3,32,1082824408
887,222,120,1082824466
888,41,222,1082824492
889,41,222,1082825016
890,41,223,1082825509
891,214,175,1082825685
892,41,97,1082825849
893,41,134,1082825996
894,51,215,1082826065
895,36,222,1082826127
896,36,221,1082826189
897,212,66,1082826379
898,96,224,1082826659
899,175,214,1082827071
900,214,175,1082827121
901,225,223,1082827452
902,36,221,1082827485
903,36,214,1082827525
904,176,223,1082827548
905,176,226,1082827561
906,221,161,1082827579
907,36,221,1082827594
908,44,226,1082827839
909,221,161,1082827979
910,36,221,1082828100
911,221,161,1082828354
912,56,214,1082828534
913,221,161,1082828540
914,221,161,1082828721
915,221,161,1082829021
916,161,221,1082829339
917,36,221,1082829480
918,36,214,1082829548
919,221,161,1082829858
920,204,221,1082830250
921,227,26,1082830381
922,211,228,1082831094
923,214,101,1082831767
924,229,230,1082832576
925,220,214,1082832711
926,96,231,1082832960
927,96,232,1082833021
928,103,221,1082833095
929,103,20,1082833416
930,103,86,1082833478
931,220,214,1082833600
932,220,214,1082833848
933,103,66,1082834001
934,212,66,1082834418
935,124,109,1082834591
936,103,185,1082834907
937,212,6,1082835132
938,103,185,1082835262
939,103,8,1082835474
940,63,202,1082835548
941,63,185,1082835586
942,103,93,1082835921
943,63,185,1082835933
944,9,233,1082837912
945,103,233,1082837981
946,9,97,1082838227
947,9,190,1082838336
948,166,234,1082839816
949,69,34,1082839924
950,69,34,1082839958
951,235,191,1082839992
952,69,185,1082840223
953,41,166,1082841461
954,41,32,1082841524
955,3,32,1082842283
956,3,132,1082842403
957,1,30,1082842765
958,41,32,1082843254
959,41,173,1082843266
960,103,166,1082844039
961,63,127,1082844717
962,63,199,1082845036
963,103,166,1082845344
964,63,92,1082845673
965,97,228,1082846205
966,97,228,1082846205
967,103,58,1082848135
968,191,136,1082848808
969,32,58,1082849260
970,131,30,1082850103
971,191,236,1082850128
972,32,237,1082850309
973,9,235,1082850411
974,101,34,1082850456
975,237,32,1082850477
976,97,191,1082850493
977,48,81,1082850562
978,48,81,1082850567
979,175,214,1082850870
980,176,233,1082851106
981,9,101,1082851120
982,48,52,1082851409
983,48,52,1082851413
984,48,175,1082851435
985,52,48,1082851484
986,48,52,1082851571
987,9,177,1082851790
988,97,191,1082851832
989,9,175,1082851844
990,52,48,1082851844
991,175,48,1082851933
992,96,48,1082852079
993,41,32,1082852111
994,9,175,1082852170
995,41,174,1082852250
996,9,175,1082852547
997,48,175,1082853087
998,12,175,1082853099
999,48,52,1082853179
1000,175,48,1082853237
1001,48,175,1082853261
1002,12,175,1082853265
1003,12,168,1082853302
1004,12,175,1082853327
1005,52,48,1082853360
1006,175,48,1082853364
1007,48,52,1082853413
1008,12,81,1082853424
1009,12,175,1082853451
1010,48,175,1082853472
1011,175,48,1082853595
1012,12,175,1082853630
1013,48,175,1082853652
1014,12,175,1082853654
1015,52,48,1082853683
1016,48,52,1082853757
1017,12,175,1082853772
1018,175,48,1082853836
1019,52,48,1082853853
1020,12,175,1082853916
1021,48,52,1082853936
1022,12,175,1082853951
1023,48,175,1082853968
1024,12,175,1082854021
1025,175,48,1082854050
1026,52,48,1082854069
1027,12,175,1082854144
1028,12,175,1082854187
1029,12,175,1082854210
1030,220,214,1082854243
1031,12,175,1082854275
1032,88,220,1082854288
1033,48,175,1082854340
1034,48,52,1082854358
1035,12,175,1082854435
1036,175,48,1082854457
1037,52,48,1082854458
1038,9,175,1082854507
1039,48,175,1082854552
1040,12,175,1082854571
1041,12,175,1082854649
1042,175,48,1082854656
1043,12,175,1082854727
1044,9,175,1082854737
1045,48,175,1082854811
1046,12,175,1082854812
1047,48,52,1082854832
1048,9,175,1082854869
1049,175,48,1082854907
1050,9,209,1082854907
1051,12,175,1082854919
1052,48,175,1082855018
1053,103,66,1082855043
1054,103,52,1082855132
1055,12,175,1082855149
1056,103,66,1082855167
1057,175,48,1082855179
1058,52,48,1082855203
1059,103,66,1082855271
1060,12,175,1082855278
1061,12,175,1082855299
1062,48,52,1082855427
1063,48,175,1082855473
1064,175,48,1082855558
1065,48,175,1082855615
1066,48,175,1082855641
1067,9,175,1082855643
1068,9,209,1082855652
1069,175,48,1082855740
1070,175,48,1082855820
1071,220,48,1082855939
1072,9,175,1082855939
1073,48,175,1082855992
1074,144,185,1082856013
1075,175,48,1082856124
1076,220,48,1082856136
1077,48,175,1082856245
1078,144,222,1082856325
1079,220,48,1082856335
1080,175,48,1082856340
1081,220,48,1082856351
1082,220,48,1082856517
1083,48,175,1082856520
1084,220,48,1082856553
1085,175,48,1082856654
1086,48,175,1082856675
1087,220,48,1082856713
1088,175,48,1082856740
1089,144,195,1082856749
1090,48,175,1082856780
1091,191,237,1082856802
1092,220,48,1082856835
1093,175,48,1082856959
1094,220,48,1082857016
1095,48,175,1082857074
1096,220,95,1082857142
1097,95,168,1082857161
1098,220,48,1082857210
1099,176,198,1082857221
1100,220,95,1082857243
1101,191,175,1082857244
1102,220,95,1082857277
1103,176,201,1082857344
1104,175,48,1082857346
1105,175,191,1082857384
1106,191,175,1082857400
1107,48,175,1082857422
1108,175,191,1082857456
1109,175,48,1082857464
1110,191,175,1082857493
1111,144,88,1082857510
1112,175,191,1082857511
1113,220,48,1082857512
1114,191,175,1082857544
1115,175,191,1082857600
1116,144,238,1082857636
1117,191,175,1082857642
1118,175,191,1082857698
1119,220,95,1082857705
1120,239,175,1082857719
1121,144,240,1082857769
1122,239,175,1082857829
1123,239,236,1082857872
1124,220,95,1082857944
1125,220,48,1082858053
1126,220,95,1082858094
1127,12,90,1082858194
1128,220,95,1082858305
1129,144,23,1082858322
1130,220,95,1082858379
1131,3,132,1082858391
1132,220,95,1082858953
1133,220,95,1082859027
1134,220,95,1082859287
1135,103,52,1082859332
1136,144,32,1082859407
1137,220,48,1082859432
1138,144,48,1082859574
1139,36,222,1082859615
1140,220,95,1082859645
1141,88,144,1082859659
1142,220,95,1082859726
1143,220,95,1082859918
1144,220,95,1082860118
1145,144,48,1082860509
1146,220,48,1082860790
1147,144,48,1082860797
1148,220,95,1082860804
1149,220,95,1082860821
1150,220,48,1082860846
1151,9,144,1082861016
1152,144,241,1082861981
1153,103,144,1082862422
1154,9,216,1082864066
1155,194,242,1082865811
1156,194,199,1082865883
1157,194,209,1082865959
1158,194,182,1082866022
1159,32,144,1082884311
1160,32,243,1082884627
1161,204,241,1082888509
1162,63,127,1082889064
1163,227,144,1082889614
1164,194,209,1082892127
1165,168,95,1082892914
1166,63,127,1082893527
1167,44,214,1082893941
1168,41,32,1082896041
1169,9,244,1082897248
1170,245,191,1082897448
1171,228,97,1082897735
1172,211,228,1082900058
1173,211,246,1082900273
1174,19,52,1082900484
1175,233,88,1082901293
1176,34,242,1082901589
1177,19,233,1082901823
1178,127,63,1082903067
1179,143,32,1082903365
1180,143,95,1082903414
1181,9,235,1082903701
1182,9,177,1082903728
1183,63,127,1082904405
1184,32,88,1082904443
1185,211,233,1082904660
1186,88,32,1082905180
1187,32,88,1082905403
1188,247,248,1082905485
1189,248,247,1082905594
1190,176,248,1082905775
1191,176,248,1082905996
1192,211,232,1082906835
1193,88,32,1082907073
1194,176,248,1082907513
1195,176,63,1082907564
1196,32,88,1082907604
1197,249,63,1082907659
1198,41,250,1082908466
1199,41,248,1082908469
1200,95,168,1082908478
1201,41,251,1082908483
1202,34,242,1082908780
1203,176,72,1082909224
1204,44,88,1082910425
1205,103,177,1082911127
1206,103,86,1082911250
1207,12,168,1082912011
1208,51,86,1082912167
1209,212,252,1082912491
1210,176,63,1082912583
1211,41,97,1082912703
1212,168,95,1082912828
1213,249,63,1082912857
1214,212,34,1082912887
1215,212,252,1082912906
1216,176,63,1082912912
1217,212,252,1082913095
1218,176,63,1082913196
1219,212,34,1082913248
1220,249,63,1082913398
1221,212,34,1082913658
1222,103,63,1082913764
1223,144,247,1082913805
1224,204,51,1082913826
1225,103,63,1082913867
1226,101,208,1082913901
1227,212,34,1082914140
1228,212,252,1082914233
1229,53,253,1082916335
1230,9,251,1082916378
1231,164,8,1082918030
1232,8,164,1082918122
1233,212,34,1082918510
1234,44,88,1082918704
1235,44,48,1082918867
1236,44,88,1082918900
1237,44,48,1082919038
1238,254,8,1082919080
1239,8,254,1082919151
1240,44,88,1082919304
1241,254,8,1082919355
1242,95,168,1082919493
1243,254,8,1082919678
1244,8,254,1082919825
1245,254,8,1082919945
1246,8,254,1082919999
1247,254,8,1082920139
