src,trg,time
2192,14131,1147695859.0
10542,1230,1147697813.0
3290,2552,1147698989.0
27211,5532,1147699070.0
12968,24538,1147702484.0
6599,17883,1147704231.0
591,4433,1147708185.0
493,10099,1147709470.0
2259,5549,1147718218.0
9211,5407,1147725071.0
4220,13304,1147730539.0
3451,3457,1147734722.0
4692,15251,1147736597.0
1974,1964,1147738943.0
5401,3874,1147738958.0
2387,712,1147739715.0
493,10097,1147742667.0
5067,16174,1147743991.0
7320,8404,1147744326.0
7320,8404,1147744493.0
493,2703,1147746884.0
493,489,1147747069.0
7519,9694,1147747599.0
9215,8606,1147747606.0
1194,15,1147748147.0
7045,6581,1147748268.0
8602,3457,1147749515.0
1127,2440,1147751079.0
6842,8506,1147751140.0
1127,2758,1147752535.0
4458,4981,1147752734.0
718,1838,1147754240.0
2302,2316,1147754316.0
2302,2316,1147754317.0
8556,8592,1147754353.0
5788,5867,1147754493.0
5788,5867,1147754503.0
15379,27738,1147754955.0
493,963,1147756261.0
5249,5377,1147761381.0
5249,5377,1147761421.0
8397,1906,1147761492.0
12061,1441,1147761838.0
9703,5032,1147762590.0
8905,8897,1147764229.0
17843,21984,1147764628.0
21821,13684,1147767069.0
3430,3424,1147767098.0
17520,17269,1147769810.0
1512,6069,1147769923.0
7513,1918,1147770269.0
7513,14877,1147770541.0
7513,11535,1147770945.0
24537,8600,1147771592.0
13813,21172,1147772565.0
10185,12767,1147772719.0
7513,18674,1147773939.0
15239,15232,1147774445.0
7513,3875,1147775526.0
9188,13684,1147776207.0
7513,9318,1147777355.0
27211,27206,1147777658.0
4122,2022,1147777743.0
8504,15792,1147777883.0
14069,2319,1147781012.0
8397,6261,1147781680.0
6842,12431,1147782098.0
7513,5417,1147782472.0
5245,4520,1147782837.0
27611,8855,1147783105.0
530,4239,1147783599.0
7217,17036,1147783809.0
14835,4239,1147783891.0
8397,5043,1147784108.0
8905,8897,1147784411.0
27211,27206,1147784582.0
5386,5377,1147785303.0
21072,9748,1147785625.0
1228,7154,1147785800.0
8608,5043,1147786007.0
13374,2769,1147787256.0
8397,5043,1147787705.0
1966,170,1147787839.0
4140,9401,1147787896.0
24537,12968,1147788062.0
9852,7531,1147788141.0
7280,15251,1147790680.0
17843,21984,1147790805.0
21010,7044,1147791495.0
5831,9759,1147791646.0
5917,1751,1147811795.0
4239,14835,1147812703.0
14603,14194,1147816240.0
6082,1038,1147820793.0
15379,27738,1147823922.0
15379,27738,1147823983.0
24157,21135,1147826961.0
5180,8271,1147828427.0
10404,20925,1147828980.0
5831,2440,1147833751.0
8608,5043,1147834983.0
30225,7480,1147835057.0
3076,449,1147836837.0
5661,3423,1147837782.0
8556,8592,1147840035.0
20920,23828,1147840427.0
8905,8897,1147840870.0
5620,8592,1147841356.0
1080,494,1147841680.0
4958,478,1147842096.0
1966,1971,1147846492.0
802,12338,1147850413.0
8943,1448,1147850600.0
8623,16162,1147852480.0
8921,22901,1147852599.0
9703,3704,1147853521.0
1964,1971,1147854146.0
10017,10029,1147854260.0
9119,1562,1147854530.0
3404,9592,1147854613.0
1374,1372,1147855016.0
5868,11647,1147855764.0
12973,13004,1147855800.0
12973,13004,1147855826.0
9119,6429,1147856158.0
12927,7206,1147857050.0
7290,6062,1147859209.0
5095,429,1147861379.0
3807,1718,1147862318.0
15047,8626,1147863430.0
7405,21765,1147865215.0
16558,22615,1147865993.0
14994,8736,1147866519.0
8073,8292,1147868000.0
7405,21765,1147868571.0
27211,27206,1147868854.0
13047,3374,1147869043.0
7660,8404,1147869254.0
1765,9372,1147869575.0
1722,1717,1147869746.0
1722,1717,1147869812.0
3540,1514,1147871200.0
15047,21327,1147871426.0
2661,21327,1147871727.0
13047,532,1147873212.0
20588,20745,1147873464.0
9908,6735,1147875902.0
5249,5377,1147877035.0
7531,9852,1147878926.0
5661,3423,1147881297.0
5900,1415,1147887052.0
8959,1228,1147887266.0
6262,1986,1147891270.0
9476,14792,1147898752.0
3904,1904,1147901469.0
887,893,1147905092.0
17434,5993,1147908118.0
4568,1085,1147911150.0
17831,915,1147911676.0
9394,10993,1147913193.0
6613,1782,1147914549.0
6840,13684,1147915232.0
8609,5620,1147915536.0
4483,4503,1147915700.0
14087,5068,1147916578.0
14608,12767,1147917386.0
7536,4302,1147917731.0
28435,35482,1147917861.0
14083,4302,1147918829.0
17041,30176,1147919430.0
17764,36561,1147919896.0
1016,1021,1147923339.0
16221,15120,1147923611.0
21130,12738,1147925270.0
2302,2316,1147926098.0
877,10022,1147927063.0
22045,3454,1147928670.0
1169,1181,1147929826.0
1207,525,1147930393.0
7206,12927,1147930943.0
20418,11524,1147931636.0
5900,1415,1147931979.0
14994,8736,1147934598.0
5985,2128,1147935814.0
260,910,1147935906.0
9394,9369,1147936395.0
6287,9402,1147936696.0
9703,1211,1147937729.0
5450,5434,1147938092.0
20637,3252,1147939748.0
8344,1361,1147940531.0
17864,6543,1147940629.0
9394,8342,1147940785.0
8343,8342,1147941237.0
1228,8959,1147942788.0
3824,3827,1147943514.0
9476,14792,1147943881.0
21902,5619,1147944450.0
7053,24422,1147944859.0
910,260,1147946377.0
8875,8197,1147949328.0
8397,1906,1147950120.0
27211,12760,1147950245.0
15047,8626,1147951117.0
13735,7972,1147952176.0
7320,8404,1147953367.0
1906,8397,1147954450.0
14835,4239,1147954757.0
24533,7630,1147955341.0
27211,39721,1147955774.0
17206,2695,1147956132.0
8959,1228,1147958323.0
16789,13286,1147960080.0
3008,5549,1147960094.0
1910,1784,1147960755.0
9852,7531,1147960862.0
7320,8402,1147960942.0
8943,3480,1147963417.0
12061,1441,1147964684.0
6670,2976,1147965324.0
10806,4960,1147968300.0
1906,8397,1147980260.0
10806,1913,1147986524.0
17866,6807,1147987707.0
8943,4037,1147989679.0
8342,9394,1147996791.0
15372,5423,1147997606.0
22868,22870,1147997944.0
6095,1294,1147998916.0
8943,5759,1147999548.0
6670,6099,1148000003.0
8943,18676,1148000456.0
18146,6720,1148000855.0
154,109,1148001186.0
35482,28435,1148001868.0
10806,12176,1148001888.0
15372,12176,1148001950.0
2498,18903,1148002522.0
18903,2498,1148003110.0
2498,18903,1148003474.0
3008,2260,1148004096.0
2850,2260,1148004152.0
1770,1761,1148004832.0
8074,541,1148005584.0
22527,8901,1148005925.0
15372,5417,1148007234.0
4239,530,1148008754.0
5101,5057,1148008794.0
7404,8072,1148010737.0
29376,19471,1148012857.0
12176,15372,1148013066.0
5378,1432,1148013153.0
8943,18676,1148013833.0
493,1719,1148014191.0
23657,13673,1148015268.0
2498,13103,1148016415.0
29376,5438,1148017788.0
14520,8345,1148019501.0
8623,3606,1148019502.0
2235,2511,1148019900.0
7320,8404,1148020086.0
19690,6581,1148020287.0
5101,27651,1148021464.0
27211,12760,1148022621.0
3540,1514,1148023250.0
7320,17099,1148023701.0
14205,25953,1148025334.0
18312,18671,1148025857.0
27211,12760,1148027132.0
15962,12760,1148027239.0
7405,21765,1148029416.0
5101,8414,1148029578.0
8943,3480,1148029729.0
22815,22168,1148030433.0
6670,5008,1148030891.0
5180,10677,1148031156.0
20943,18381,1148033378.0
10806,1907,1148033592.0
5101,2039,1148033778.0
20550,18381,1148034039.0
32418,25196,1148034138.0
27574,14318,1148035028.0
4327,4296,1148035699.0
25973,22692,1148036891.0
8943,5759,1148037108.0
7504,10675,1148037175.0
10179,14196,1148037208.0
7513,15565,1148037497.0
2830,39,1148037751.0
7522,9318,1148037886.0
18903,7329,1148038794.0
792,18458,1148040938.0
1088,1083,1148041176.0
2028,2765,1148041829.0
12449,15052,1148042312.0
8342,8343,1148042396.0
21980,11953,1148043080.0
17866,21540,1148043458.0
10889,10891,1148043987.0
10889,10891,1148044025.0
10337,15418,1148045776.0
10337,15418,1148045840.0
4031,9401,1148047092.0
2273,415,1148047535.0
8613,8234,1148048342.0
1966,1964,1148048872.0
5985,2128,1148049407.0
17855,12061,1148050884.0
3704,1211,1148065822.0
17855,1441,1148075804.0
6141,4402,1148076613.0
3704,11681,1148077138.0
8345,14520,1148078975.0
4837,15616,1148080747.0
17434,5993,1148081342.0
14520,8345,1148083520.0
10027,24154,1148085213.0
8345,14520,1148085983.0
14520,8345,1148087313.0
3704,5423,1148087981.0
3704,11489,1148090141.0
12830,14791,1148091009.0
14608,12767,1148095622.0
3704,11680,1148095960.0
910,260,1148097427.0
17882,10179,1148097457.0
260,910,1148100025.0
17855,2976,1148100451.0
3704,11680,1148101482.0
11793,27132,1148102903.0
2016,4894,1148105909.0
17882,31407,1148106446.0
13732,14402,1148106928.0
2508,1271,1148107837.0
8943,1448,1148109680.0
11072,22527,1148110518.0
3704,3736,1148111590.0
63122,17587,1148112121.0
3704,8233,1148112906.0
8962,10882,1148113649.0
5758,4837,1148117133.0
3704,14118,1148118924.0
18674,7522,1148119951.0
18674,7522,1148119952.0
22527,11072,1148120576.0
2024,5042,1148120796.0
5435,1904,1148121010.0
20574,6058,1148121383.0
24927,8235,1148122436.0
7538,3375,1148123815.0
1564,1158,1148125093.0
3627,11538,1148132311.0
8623,1906,1148132918.0
8397,11538,1148134398.0
7046,17096,1148134541.0
9908,14056,1148135780.0
2024,2695,1148136063.0
509,533,1148138826.0
17434,7516,1148142787.0
13732,14402,1148153082.0
7414,21282,1148165206.0
9476,14792,1148168252.0
94,2436,1148168692.0
5320,1435,1148174807.0
5892,1225,1148175728.0
14211,14206,1148175830.0
23895,14206,1148175871.0
8118,14206,1148177133.0
13132,7296,1148177272.0
14204,14206,1148177344.0
8909,21522,1148177449.0
10469,14206,1148177484.0
17434,13651,1148178194.0
958,961,1148178773.0
19646,12645,1148179109.0
2303,1435,1148180121.0
640,1435,1148180732.0
640,1435,1148180744.0
2299,1435,1148180881.0
2299,1435,1148180905.0
17434,21135,1148182258.0
991,3806,1148182553.0
991,3806,1148182680.0
19646,9157,1148186329.0
21906,4182,1148188410.0
17434,5993,1148190059.0
2062,12504,1148190626.0
3430,12441,1148191951.0
7427,27574,1148193116.0
17351,23895,1148194129.0
4663,2769,1148194855.0
13735,14166,1148197206.0
9394,8342,1148203380.0
8397,1906,1148207790.0
18674,7522,1148209032.0
7528,20834,1148209274.0
8943,5759,1148209386.0
35482,28435,1148211513.0
8235,24927,1148213034.0
19810,15615,1148217084.0
8943,5759,1148221779.0
8921,16129,1148222993.0
1906,1901,1148234616.0
12212,3975,1148235196.0
1906,1901,1148236495.0
21879,22404,1148252715.0
5985,2128,1148260529.0
22274,18129,1148261533.0
9476,14792,1148261868.0
27574,22273,1148265194.0
24157,21135,1148265895.0
12485,10941,1148267498.0
12581,1432,1148268496.0
2120,1126,1148268597.0
19646,9152,1148270287.0
7829,8074,1148270883.0
4520,5245,1148273245.0
9211,5407,1148273842.0
14277,3985,1148274543.0
1072,1127,1148277648.0
10179,9592,1148279986.0
8909,18864,1148283213.0
16359,2523,1148283592.0
1121,5321,1148283876.0
991,3806,1148286651.0
8943,1448,1148287611.0
8943,5759,1148289947.0
10022,9763,1148290244.0
12576,25132,1148298231.0
9476,14792,1148298370.0
7530,14877,1148301484.0
17843,21984,1148302820.0
4633,8175,1148303466.0
7004,4690,1148304282.0
6842,5278,1148305467.0
681,2511,1148305808.0
3701,1914,1148306799.0
4693,1846,1148313353.0
1984,56,1148318146.0
6262,1986,1148330829.0
920,898,1148336145.0
10728,10069,1148340150.0
15563,24358,1148342924.0
8397,11538,1148343573.0
11523,5054,1148344107.0
6113,9948,1148344637.0
14416,6298,1148345267.0
3596,16832,1148345557.0
16832,3596,1148345795.0
3596,16832,1148346033.0
7290,6510,1148346625.0
35824,31984,1148347148.0
20943,5062,1148347371.0
16832,3596,1148347407.0
16832,17096,1148347557.0
29399,15973,1148348161.0
1441,12061,1148348272.0
18146,6720,1148348327.0
3404,1765,1148348465.0
10728,25199,1148348878.0
1765,3404,1148350460.0
5386,5377,1148352500.0
10728,8943,1148352501.0
17779,4731,1148353729.0
23694,6152,1148354719.0
3901,25953,1148355019.0
14961,14881,1148356010.0
3154,23259,1148357506.0
1564,4731,1148357653.0
991,3806,1148358151.0
640,1435,1148358897.0
14081,9939,1148361416.0
2551,4503,1148362718.0
18146,7998,1148363391.0
20964,19063,1148364448.0
1897,5417,1148364516.0
18238,16791,1148367022.0
17779,5213,1148367266.0
1725,27172,1148368364.0
3596,101,1148370968.0
23805,21927,1148371281.0
888,910,1148372424.0
20964,20963,1148376966.0
9476,14792,1148378613.0
7713,29073,1148379876.0
162,298,1148379990.0
8344,1361,1148381095.0
14081,16174,1148381143.0
146,802,1148381561.0
14081,9839,1148383070.0
9476,14792,1148383357.0
4038,15354,1148385631.0
14081,5118,1148385712.0
16787,16791,1148387825.0
1564,1158,1148387985.0
27211,27206,1148388728.0
7504,14962,1148388734.0
14081,5057,1148390301.0
9137,6302,1148391647.0
3596,15565,1148391816.0
3159,668,1148391938.0
5118,14081,1148393502.0
9840,14081,1148393778.0
6363,15251,1148395165.0
8739,7971,1148395217.0
11371,1597,1148395940.0
21413,6334,1148397742.0
10542,10541,1148397749.0
8621,5060,1148399426.0
9016,9988,1148420271.0
15715,3365,1148424456.0
861,862,1148427451.0
30855,32165,1148430342.0
27211,28159,1148430448.0
5386,5377,1148430791.0
9990,9988,1148432465.0
1984,3253,1148433417.0
9759,14993,1148434221.0
9401,4140,1148435791.0
3596,15565,1148436102.0
21821,5891,1148436712.0
7290,6510,1148439778.0
5108,6649,1148441719.0
3430,3424,1148445332.0
4472,4473,1148446399.0
7504,3870,1148446885.0
7894,1897,1148449208.0
1897,7894,1148449283.0
6661,12856,1148451140.0
802,146,1148452719.0
22155,146,1148453215.0
8943,3498,1148454354.0
8109,2775,1148454581.0
9211,5407,1148454811.0
15973,29399,1148455124.0
888,910,1148455335.0
8376,4424,1148456153.0
16220,16202,1148456730.0
9404,6760,1148457023.0
501,6760,1148457517.0
14961,14881,1148458305.0
1441,12061,1148458730.0
7053,24422,1148459515.0
7713,29073,1148461312.0
1070,1071,1148461383.0
4782,8505,1148461444.0
25005,4533,1148462201.0
20962,12647,1148462387.0
2967,1158,1148462832.0
146,150,1148465554.0
27211,12760,1148467399.0
4182,21906,1148467625.0
25005,17506,1148467748.0
738,2297,1148468356.0
14095,3608,1148468617.0
10420,753,1148469160.0
1568,13909,1148469748.0
7427,810,1148469963.0
1646,814,1148471978.0
12443,6432,1148472645.0
25005,13286,1148473112.0
5898,4903,1148475442.0
1646,1640,1148477019.0
12177,31984,1148484822.0
9089,26399,1148488503.0
5434,23970,1148489680.0
4590,1083,1148490623.0
5620,5030,1148491519.0
12061,1441,1148493365.0
2551,4503,1148498217.0
10179,10173,1148506930.0
7669,6778,1148507522.0
8555,9325,1148510489.0
41896,44386,1148511074.0
9992,9988,1148513078.0
527,1782,1148513337.0
534,1782,1148513426.0
527,2931,1148516211.0
29001,28606,1148516508.0
2304,9089,1148517463.0
591,4433,1148517880.0
10806,1913,1148519114.0
8591,8592,1148519293.0
9089,8453,1148520811.0
2304,9802,1148521522.0
3899,3870,1148522039.0
527,6720,1148522889.0
527,489,1148523751.0
2304,3895,1148523810.0
527,8734,1148523865.0
1300,2168,1148524054.0
1441,12061,1148524628.0
17434,5993,1148524945.0
527,5755,1148526466.0
14969,5118,1148527463.0
3430,3424,1148528766.0
13468,3606,1148528886.0
9401,515,1148531449.0
5892,13034,1148531592.0
6668,13034,1148531654.0
21906,4182,1148532975.0
29399,15973,1148533870.0
527,5038,1148534304.0
2967,13853,1148534970.0
13034,13688,1148535871.0
10254,7514,1148536065.0
13108,8198,1148537459.0
888,910,1148537632.0
3371,20953,1148538184.0
3371,20953,1148539400.0
8623,5417,1148541145.0
910,888,1148541302.0
16202,16220,1148541514.0
10182,4349,1148542024.0
8376,4424,1148542057.0
16810,5204,1148542459.0
14961,14881,1148543099.0
13374,879,1148543718.0
8922,8855,1148544398.0
11371,1597,1148550279.0
527,1407,1148550439.0
146,150,1148550769.0
2304,4333,1148551722.0
2073,1194,1148553519.0
68,2769,1148554482.0
15492,15491,1148554943.0
2242,2241,1148556784.0
2313,8410,1148557502.0
17395,15052,1148558087.0
7713,415,1148561901.0
19791,17430,1148562909.0
6142,1771,1148563248.0
20920,23828,1148563802.0
8505,4782,1148564288.0
1768,1407,1148565070.0
13283,5406,1148565631.0
1083,4590,1148572218.0
2508,1271,1148572802.0
9684,27161,1148573978.0
26322,15052,1148577705.0
21072,15052,1148579117.0
3608,3584,1148589810.0
4903,5898,1148596676.0
31943,8183,1148599488.0
9798,7574,1148600080.0
5396,5403,1148600170.0
5892,1225,1148601821.0
1070,1071,1148602576.0
8594,3908,1148603343.0
1083,5384,1148603730.0
4349,10182,1148608017.0
1170,1231,1148608990.0
5386,5377,1148609167.0
12450,13469,1148609480.0
1083,5549,1148611076.0
2875,3287,1148611511.0
7433,20305,1148612794.0
8701,5064,1148616241.0
15973,29399,1148616982.0
14478,14480,1148617282.0
18873,5423,1148617702.0
6142,1771,1148618366.0
13813,6098,1148620371.0
5438,3986,1148620682.0
6778,7669,1148620961.0
8345,4569,1148621061.0
18994,2925,1148621539.0
16789,9037,1148621827.0
870,2498,1148621871.0
1170,1225,1148622195.0
11737,13651,1148622389.0
303,308,1148622976.0
12429,14435,1148623094.0
9194,6164,1148623412.0
21284,19728,1148624031.0
5396,5403,1148626875.0
1083,9746,1148626929.0
9139,8592,1148627869.0
2967,556,1148627915.0
2967,556,1148628219.0
3596,101,1148631457.0
